Username,Text,language,retweet_count,Time,location
f63691428,@1500tasvir_en Great post.#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,1,2022-12-17 19:34:23+00:00,
Anousha11mehr,"In #Christchurch tomorrow there will be an exhibition to raise awareness about Iran, to show solidarity with political prisoners and to echo the calls from inside Iran for regime change. Please support if you’re in town.  #hosseinronaghi   #ToomajSalehi   #SamanYasin https://t.co/E0rHAzd6qU",en,2,2022-12-17 19:31:19+00:00,
Anousha11mehr,"The Iranians are not only geniuses and experts in their own fields, but they're also ethical human beings. That's the reason why #HosseinRonaghi languished in prison. That's why #ArashSadeghi is risking his life for a free and democratic Iran. https://t.co/1LuKx6q2hE",en,6,2022-12-17 19:30:45+00:00,
Anousha11mehr,You will NOT break us!!  #IranRevoIution2022   #HosseinRonaghi https://t.co/whJdvVZAr9,en,802,2022-12-17 19:30:09+00:00,
Con_E76,@1500tasvir_en Great post.#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,1,2022-12-17 18:45:17+00:00,Canadia
Con_E76,@IranIntl_En @hra_news @melaniejoly help!#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-17 18:44:16+00:00,Canadia
giveh,@mypersia1 Shame on you.  #MahsaAmini #hosseinronaghi,en,0,2022-12-17 17:16:39+00:00,
MinuD19,Brilliant lady ❤️❤️❤️❤️    #FreeToomajSalehi  #mahsaami̇ni̇ #OpIran‌ #IranRevolution2022 #IranProtests2022 #سپیده_قلیان #حسين_رونقی #HosseinRonaghi https://t.co/Dtfl5L0Ait,en,0,2022-12-17 12:30:54+00:00,
AlizadehYass,Imagine living in the Islamic Republic of #Iran knowing that out there in America people with Persian names who look like you r whitewashing the horrors of your daily life 1 #CrimeAgainstHumanity at a time! Have they apologized yet? #HosseinRonaghi #IRGC #MahsaAmini #HorrorMovies https://t.co/u6iZjighpI,en,0,2022-12-17 11:55:35+00:00,
NeelamAmbigai,"The Iranians are not only geniuses and experts in their own fields, but they're also ethical human beings. That's the reason why #HosseinRonaghi languished in prison. That's why #ArashSadeghi is risking his life for a free and democratic Iran. https://t.co/1LuKx6q2hE",en,6,2022-12-17 10:18:08+00:00,
seekweston,Seriously who cares about Twitter/CNN when people are being tortured and murdered in Iran #SayTheirNames #ToomajSalehi #AYLAR_HAGHI #KianPirfalak #MashaAmini #HosseinRonaghi #HamidrezaRouhi #AidaRostami #MohamadBroghani #Majidreza_Rahnavard #FreeIran💚🤍❤️ https://t.co/zdOdnfXjJJ,en,0,2022-12-17 03:58:33+00:00,United States
seekweston,Thank God for Israel’s Mossad special forces! Why aren’t we doing more @POTUS @VP @SecBlinken @DeputySecState @MichelleSteelCA @SenRickScott @SenTedCruz #SayTheirNames #MashaAmini #KianPirfalak #nika_shakarami #ToomajSalehi #HosseinRonaghi #Aylar_haghi #HamidrezaRouhi #FreeIran https://t.co/lFdyerZM60,en,0,2022-12-17 03:51:50+00:00,United States
Shab_d,"In #Christchurch tomorrow there will be an exhibition to raise awareness about Iran, to show solidarity with political prisoners and to echo the calls from inside Iran for regime change. Please support if you’re in town.  #hosseinronaghi   #ToomajSalehi   #SamanYasin https://t.co/E0rHAzd6qU",en,2,2022-12-17 00:40:23+00:00,"Christchurch City, New Zealand"
ZZA2023,So glad u r back so we can continue to fight back ✌🏼✌🏼#HosseinRonaghi #MahsaAmini #NIACLobbies4mullahs #NIACLobbies4Mullas https://t.co/mgY6otivOU,en,0,2022-12-16 18:11:22+00:00,
realdariusla,"""This is neither forgivable nor forgettable.""  #IranRevoIution   #HosseinRonaghi https://t.co/XaxqrJW2K4",en,1,2022-12-16 15:19:22+00:00,
ironnationn,"Hear the facts of whats happening in Iran from us ,from those that have been tortured tremendously by the IR Regime for years and years   Use us as your resource not the ones that receive salary to normalise their savageries.   #HosseinRonaghi   #MahsaAmini   #IranRevoIution https://t.co/CWDZ0WLH1I",en,1,2022-12-16 14:21:47+00:00,
lantern988,@HosseinRonaghi #HosseinRonaghi is the voice of the people of Iran.  We neither forgive nor forget.,en,0,2022-12-16 14:00:05+00:00,
Dokhtareirani33,1. Who said the terrorist’s propagandists are Iran scholars!! We have lots of Iran scholars fighting for free Iran 2. Those who cannot/do not want to understand what #HosseinRonaghi means are too naive/terrorist-supporter #MahsaAmini https://t.co/npe1X6f64R,en,0,2022-12-16 07:11:22+00:00,Earth
pariaaa21390,You will NOT break us!!  #IranRevoIution2022   #HosseinRonaghi https://t.co/whJdvVZAr9,en,802,2022-12-16 03:55:47+00:00,"Brantford, Ontario"
